condition,case,category,wer,wder,sub,del,ins,ref_words,hyp_words
model_medium,RES0100,RES,0.1312427409988385,0.0442643391521197,81,118,27,1722,1631
model_medium,RES0104,RES,0.1349934469200524,0.047853624208304,68,105,33,1526,1454
model_medium,RES0106,RES,0.1662688941925219,0.0682210708117443,74,99,36,1257,1194
model_medium,RES0109,RES,0.1926605504587156,0.0670170827858081,43,111,14,872,775
model_medium,RES0118,RES,0.1253822629969418,0.0033745781777277,29,92,2,981,891
model_medium,RES0123,RES,0.1791215059897319,0.0091443500979751,65,222,27,1753,1558
model_medium,RES0127,RES,0.1140042223786066,0.0140324963072378,54,67,41,1421,1395
model_medium,RES0132,RES,0.1416247304097771,0.0024370430544272,32,160,5,1391,1236
model_medium,RES0134,RES,0.1292360712234348,0.0070739549839228,20,186,19,1741,1574
model_medium,RES0143,RES,0.1619047619047619,0.0107632093933463,41,133,13,1155,1035
model_medium,RES0155,RES,0.2136181575433912,0.0199840127897681,63,247,10,1498,1261
model_medium,RES0160,RES,0.1607949412827461,0.003976143141153,52,101,25,1107,1031
model_medium,RES0163,RES,0.1432246998284734,0.007380073800738,55,82,30,1166,1114
model_medium,RES0173,RES,0.1654381654381654,0.0149122807017543,96,81,25,1221,1165
model_medium,RES0207,RES,0.1515527950310559,0.0468140442132639,45,36,41,805,810
model_largev2,CAR0002,CAR,0.1924882629107981,0.1266794625719769,83,23,99,1065,1141
model_largev2,DER0001,DER,0.1402684563758389,0.0106458481192335,81,81,47,1490,1456
model_largev2,GAS0007,GAS,0.1523702031602709,0.0161662817551963,60,20,55,886,921
model_largev2,GEN0001,GEN,0.1103008204193254,0.0124045801526717,49,49,23,1097,1071
model_largev2,MSK0008,MSK,0.1274647887323943,0.0029154518950437,107,48,26,1420,1398
model_largev2,MSK0013,MSK,0.1196960101329955,0.0059523809523809,90,67,32,1579,1544
model_largev2,MSK0017,MSK,0.1422222222222222,0.0106320141760189,118,107,31,1800,1724
model_largev2,MSK0025,MSK,0.1043307086614173,0.0117079889807162,68,72,19,1524,1471
model_largev2,MSK0026,MSK,0.0887573964497041,0.0046224961479198,34,54,32,1352,1330
model_largev2,MSK0041,MSK,0.1813537675606641,0.0045278137128072,101,20,163,1566,1709
model_largev2,MSK0046,MSK,0.1309904153354632,0.015228426395939,73,70,21,1252,1203
model_largev2,RES0012,RES,0.152744630071599,0.037110341415141,135,74,111,2095,2132
model_largev2,RES0021,RES,0.1422893481717011,0.0042087542087542,83,70,26,1258,1214
model_largev2,RES0025,RES,0.1663019693654266,0.0095389507154213,86,113,29,1371,1287
model_largev2,RES0030,RES,0.1155143338954468,0.0104347826086956,73,36,28,1186,1178
model_largev2,RES0047,RES,0.1649970536240424,0.0044444444444444,114,122,44,1697,1619
model_largev2,RES0051,RES,0.1374358974358974,0.0032119914346895,64,41,29,975,963
model_largev2,RES0052,RES,0.1841463414634146,0.0182291666666666,70,52,29,820,797
model_largev2,RES0053,RES,0.177115987460815,0.0256136606189967,132,40,167,1914,2041
model_largev2,RES0059,RES,0.1251862891207153,0.0131172839506172,76,46,46,1342,1342
model_largev2,RES0062,RES,0.1336429308565531,0.006951871657754,110,68,81,1938,1951
model_largev2,RES0071,RES,0.1273148148148148,0.0578778135048231,60,52,53,1296,1297
model_largev2,RES0074,RES,0.1279737489745693,0.0372250423011844,69,37,50,1219,1232
model_largev2,RES0083,RES,0.1297631307929969,0.0076252723311546,45,53,28,971,946
model_largev2,RES0098,RES,0.1338418862690707,0.0317572335920959,74,25,94,1442,1511
model_largev2,RES0100,RES,0.1347270615563298,0.0398753894080996,80,117,35,1722,1640
model_largev2,RES0104,RES,0.1684141546526867,0.0469483568075117,81,35,141,1526,1632
model_largev2,RES0106,RES,0.1431980906921241,0.0778894472361809,73,63,44,1257,1238
